index,Sex,Age,Profession/job,Education level (recoded),Scale of incomes,Social class (subjective),Country_Code
90,Female,24,Missing; Unkown,Lower,Fourth step,Lower middle class,Colombia
91,Male,30,Professional worker,Upper,Seventh step,Lower middle class,Colombia
92,Female,66,Missing; Unkown,Middle,Don´t know,Working class,Colombia
93,Female,20,Unskilled manual,Lower,second step,Working class,Colombia
94,Male,45,Professional worker,Upper,Tenth step,Upper middle class,Colombia
95,Male,52,Member of armed forces,Lower,Fourth step,Lower class,Colombia
96,Female,32,Not asked,Upper,Lower step,Lower middle class,Colombia
97,Male,23,Not asked,Middle,Lower step,Not asked in survey,Colombia
98,Male,37,Not asked,Lower,Tenth step,No answer,Colombia
99,Male,47,Not asked,Lower,second step,Lower class,Colombia
0,Female,52,Professional worker,Not asked in survey,Third step,Lower middle class,Croatia
1,Female,74,Never had a job,Not asked in survey,Lower step,Lower class,Croatia
2,Male,42,Skilled manual,Not asked in survey,Third step,Working class,Croatia
3,Female,61,Skilled manual,Not asked in survey,Eigth step,Working class,Croatia
4,Male,27,Semi-skilled manual worker,Not asked in survey,Fourth step,Working class,Croatia
5,Female,25,Never had a job,Not asked in survey,Fourth step,Lower middle class,Croatia
6,Male,62,Skilled manual,Not asked in survey,Third step,Working class,Croatia
7,Male,53,Skilled manual,Not asked in survey,second step,Lower class,Croatia
8,Female,39,Employer/manager of establishment with less than 10 employed,Not asked in survey,Seventh step,Lower middle class,Croatia
9,Male,40,Unskilled manual,Not asked in survey,Third step,Working class,Croatia
10,Female,35,Employer/manager of establishment with less than 10 employed,Not asked in survey,Nineth step,Upper middle class,Croatia
11,Male,73,Agricultural worker,Not asked in survey,second step,Working class,Croatia
12,Male,19,Professional worker,Not asked in survey,Fourth step,Lower middle class,Croatia
13,Female,47,Never had a job,Not asked in survey,Lower step,Lower class,Croatia
14,Female,31,Semi-skilled manual worker,Not asked in survey,Lower step,Upper middle class,Croatia
15,Female,25,Employer/manager of establishment with less than 10 employed,Not asked in survey,Sixth step,Don´t know,Croatia
16,Male,34,Skilled manual,Not asked in survey,Fourth step,Working class,Croatia
17,Male,42,Professional worker,Not asked in survey,Third step,Working class,Croatia
18,Female,25,Non manual -office worker,Not asked in survey,Seventh step,Working class,Croatia
19,Male,24,Never had a job,Not asked in survey,second step,Working class,Croatia
20,Male,50,Agricultural worker,Not asked in survey,Seventh step,Lower middle class,Croatia
21,Female,71,Never had a job,Not asked in survey,second step,Upper middle class,Croatia
22,Male,55,Supervisory Non manual -office worker,Not asked in survey,Fifth step,Lower middle class,Croatia
23,Male,30,Foreman and supervisor,Not asked in survey,Fifth step,Lower middle class,Croatia
24,Female,21,Skilled manual,Not asked in survey,Nineth step,Lower middle class,Croatia
25,Male,49,Non manual -office worker,Not asked in survey,Fifth step,Lower middle class,Croatia
26,Female,18,Never had a job,Not asked in survey,Fifth step,Don´t know,Croatia
27,Female,36,Professional worker,Not asked in survey,Eigth step,Lower middle class,Croatia
28,Male,31,Professional worker,Not asked in survey,Third step,Lower middle class,Croatia
29,Female,58,Never had a job,Not asked in survey,Lower step,Working class,Croatia
30,Female,50,Skilled manual,Not asked in survey,Fifth step,Working class,Croatia
31,Male,40,Employer/manager of establishment with 10 or more employed,Not asked in survey,Tenth step,Upper middle class,Croatia
32,Male,21,Never had a job,Not asked in survey,Tenth step,Upper middle class,Croatia
33,Female,31,Employer/manager of establishment with less than 10 employed,Not asked in survey,Eigth step,Lower middle class,Croatia
34,Male,51,Unskilled manual,Not asked in survey,second step,Working class,Croatia
35,Female,29,Unskilled manual,Not asked in survey,second step,Working class,Croatia
36,Female,40,Skilled manual,Not asked in survey,Fifth step,Working class,Croatia
37,Male,36,Supervisory Non manual -office worker,Not asked in survey,Eigth step,Lower middle class,Croatia
38,Female,80,Professional worker,Not asked in survey,Fourth step,Upper middle class,Croatia
39,Female,47,Professional worker,Not asked in survey,Seventh step,Lower middle class,Croatia
40,Male,63,Skilled manual,Not asked in survey,Third step,Working class,Croatia
41,Male,24,Skilled manual,Not asked in survey,Fourth step,Lower middle class,Croatia
42,Male,20,Never had a job,Not asked in survey,Eigth step,Don´t know,Croatia
43,Female,53,Non manual -office worker,Not asked in survey,Fourth step,Upper middle class,Croatia
44,Female,37,Skilled manual,Not asked in survey,Sixth step,Lower middle class,Croatia
45,Male,27,Skilled manual,Not asked in survey,Fifth step,Lower middle class,Croatia
46,Male,70,Skilled manual,Not asked in survey,Third step,Working class,Croatia
47,Male,33,Non manual -office worker,Not asked in survey,Third step,Lower middle class,Croatia
48,Female,35,Professional worker,Not asked in survey,Seventh step,Working class,Croatia
49,Male,19,Never had a job,Not asked in survey,Seventh step,Lower middle class,Croatia
50,Female,27,Don't know,Not asked in survey,Tenth step,Upper middle class,Croatia
51,Female,28,Non manual -office worker,Not asked in survey,Fourth step,Lower class,Croatia
52,Male,52,Supervisory Non manual -office worker,Not asked in survey,Eigth step,Lower middle class,Croatia
53,Male,62,Farmer: has own farm,Not asked in survey,second step,Working class,Croatia
54,Female,35,Semi-skilled manual worker,Not asked in survey,Fifth step,Working class,Croatia
55,Female,49,Semi-skilled manual worker,Not asked in survey,Eigth step,Working class,Croatia
56,Male,22,Never had a job,Not asked in survey,second step,Working class,Croatia
57,Female,33,Professional worker,Not asked in survey,second step,Working class,Croatia
58,Male,40,Skilled manual,Not asked in survey,Fifth step,Working class,Croatia
59,Female,47,Never had a job,Not asked in survey,Lower step,Lower class,Croatia
60,Male,23,Semi-skilled manual worker,Not asked in survey,Fourth step,Working class,Croatia
61,Female,56,Never had a job,Not asked in survey,second step,Lower class,Croatia
62,Female,32,Professional worker,Not asked in survey,Seventh step,Lower middle class,Croatia
63,Female,20,Never had a job,Not asked in survey,Fifth step,Working class,Croatia
64,Male,40,Skilled manual,Not asked in survey,Third step,Lower class,Croatia
65,Female,23,Don't know,Not asked in survey,Seventh step,Lower middle class,Croatia
66,Female,33,Professional worker,Not asked in survey,Nineth step,Lower middle class,Croatia
67,Female,73,Never had a job,Not asked in survey,second step,Lower class,Croatia
68,Male,44,Professional worker,Not asked in survey,Tenth step,Upper class,Croatia
69,Male,22,Never had a job,Not asked in survey,Seventh step,Upper middle class,Croatia
70,Female,58,Skilled manual,Not asked in survey,Lower step,Upper middle class,Croatia
71,Male,60,Professional worker,Not asked in survey,Nineth step,Upper middle class,Croatia
72,Female,47,Non manual -office worker,Not asked in survey,Third step,Working class,Croatia
73,Male,64,Agricultural worker,Not asked in survey,Lower step,Lower middle class,Croatia
74,Male,65,Farmer: has own farm,Not asked in survey,second step,Working class,Croatia
75,Female,45,Skilled manual,Not asked in survey,Third step,Working class,Croatia
76,Female,48,Professional worker,Not asked in survey,Nineth step,Lower middle class,Croatia
77,Female,23,Non manual -office worker,Not asked in survey,Tenth step,Upper middle class,Croatia
78,Female,20,Never had a job,Not asked in survey,Seventh step,Lower middle class,Croatia
79,Male,47,Agricultural worker,Not asked in survey,second step,Working class,Croatia
80,Female,37,Skilled manual,Not asked in survey,Fifth step,Upper middle class,Croatia
81,Female,36,Professional worker,Not asked in survey,Sixth step,Working class,Croatia
82,Female,26,Skilled manual,Not asked in survey,Nineth step,Upper middle class,Croatia
83,Female,22,Non manual -office worker,Not asked in survey,Sixth step,Working class,Croatia
84,Male,39,Non manual -office worker,Not asked in survey,Fifth step,Don´t know,Croatia
85,Male,50,Agricultural worker,Not asked in survey,Seventh step,Lower middle class,Croatia
86,Male,59,Professional worker,Not asked in survey,Sixth step,Lower middle class,Croatia
87,Male,28,Professional worker,Not asked in survey,Seventh step,Lower middle class,Croatia
88,Female,47,Non manual -office worker,Not asked in survey,Eigth step,Working class,Croatia
89,Male,19,Never had a job,Not asked in survey,Eigth step,Lower middle class,Croatia
90,Male,30,Professional worker,Not asked in survey,Eigth step,Upper middle class,Croatia
91,Female,24,Never had a job,Not asked in survey,Seventh step,Lower middle class,Croatia
92,Female,27,Never had a job,Not asked in survey,Fourth step,Lower middle class,Croatia
93,Male,55,Employer/manager of establishment with less than 10 employed,Not asked in survey,Nineth step,Lower middle class,Croatia
94,Female,66,Unskilled manual,Not asked in survey,second step,Don´t know,Croatia
95,Female,45,Non manual -office worker,Not asked in survey,Sixth step,Lower middle class,Croatia
96,Female,35,Non manual -office worker,Not asked in survey,Nineth step,Lower middle class,Croatia
97,Male,22,Skilled manual,Not asked in survey,Tenth step,Lower middle class,Croatia
98,Male,67,Professional worker,Not asked in survey,Fourth step,Upper middle class,Croatia
99,Female,60,Non manual -office worker,Not asked in survey,Eigth step,Lower middle class,Croatia
0,Male,47,Not asked,Middle,Fifth step,Lower middle class,Cyprus
1,Female,31,Not asked,Middle,second step,Lower class,Cyprus
2,Male,53,Not asked,Upper,Seventh step,Lower middle class,Cyprus
3,Female,64,Not applicable,Lower,Sixth step,Lower middle class,Cyprus
4,Female,34,Not asked,Upper,Don´t know,No answer,Cyprus
5,Female,31,Not asked,Upper,Fourth step,Working class,Cyprus
6,Male,23,Not asked,Upper,Seventh step,Upper middle class,Cyprus
7,Female,21,Not applicable,Upper,Seventh step,Upper middle class,Cyprus
8,Male,23,Not applicable,Upper,Seventh step,Upper middle class,Cyprus
9,Male,25,Not asked,Upper,second step,Working class,Cyprus
10,Female,42,Not applicable,Middle,Sixth step,Lower middle class,Cyprus
11,Female,34,Not asked,Middle,Sixth step,Upper middle class,Cyprus
12,Female,46,Not asked,Lower,Sixth step,Upper middle class,Cyprus
13,Male,61,Not asked,Middle,Fourth step,Lower middle class,Cyprus
14,Male,76,Not applicable,Upper,Sixth step,Upper middle class,Cyprus
15,Male,48,Not asked,Upper,Sixth step,Upper middle class,Cyprus
16,Male,49,Professional worker,Upper,Eigth step,Upper middle class,Cyprus
17,Female,49,Not asked,Lower,Sixth step,Lower middle class,Cyprus
18,Male,75,Not applicable,Lower,Third step,Upper middle class,Cyprus
19,Male,26,Not asked,Middle,Eigth step,No answer,Cyprus
20,Male,27,Not asked,Upper,Sixth step,No answer,Cyprus
21,Male,27,Professional worker,Upper,Sixth step,Lower middle class,Cyprus
22,Female,34,Not asked,Upper,Nineth step,Upper class,Cyprus
23,Female,38,Employer/manager of establishment with less than 10 employed,Middle,Fifth step,Working class,Cyprus
24,Male,26,Skilled manual,Middle,Fourth step,Working class,Cyprus
25,Male,32,Not asked,Middle,Fifth step,Upper middle class,Cyprus
26,Female,37,Not asked,No answer,Eigth step,Upper middle class,Cyprus
27,Male,46,Not asked,Middle,Fifth step,Lower middle class,Cyprus
28,Male,57,Not asked,Middle,Fourth step,Working class,Cyprus
29,Female,29,Professional worker,Upper,Sixth step,Working class,Cyprus
30,Female,22,Skilled manual,Middle,Fourth step,Working class,Cyprus
31,Male,33,Not asked,Upper,Sixth step,Upper middle class,Cyprus
32,Male,70,Not asked,Middle,Fifth step,Lower middle class,Cyprus
33,Female,52,Not asked,Middle,Sixth step,Upper middle class,Cyprus
34,Female,43,Not asked,No answer,Sixth step,No answer,Cyprus
35,Male,20,Not asked,Upper,Sixth step,No answer,Cyprus
36,Female,27,Not asked,Upper,Third step,Lower middle class,Cyprus
37,Male,21,Not asked,Middle,Tenth step,Upper class,Cyprus
38,Male,70,Not applicable,Lower,Fifth step,Working class,Cyprus
39,Female,21,Not asked,Middle,Fifth step,Working class,Cyprus
40,Male,36,Supervisory Non manual -office worker,Upper,Fifth step,Lower middle class,Cyprus
41,Male,28,Not asked,Upper,Fifth step,Upper middle class,Cyprus
42,Male,41,Employer/manager of establishment with less than 10 employed,Upper,Seventh step,Upper middle class,Cyprus
43,Female,41,Not asked,Upper,Sixth step,Upper middle class,Cyprus
44,Female,34,Not asked,Upper,Don´t know,No answer,Cyprus
45,Female,51,Supervisory Non manual -office worker,Upper,Eigth step,Upper middle class,Cyprus
46,Female,60,Not asked,Upper,Fourth step,Lower middle class,Cyprus
47,Male,61,Not applicable,Lower,Seventh step,Upper middle class,Cyprus
48,Female,46,Non manual -office worker,Upper,Fourth step,Working class,Cyprus
49,Female,61,Not asked,Lower,Fifth step,Working class,Cyprus
50,Male,22,Not asked,Upper,Seventh step,Upper middle class,Cyprus
51,Male,52,Not asked,Upper,Seventh step,Upper middle class,Cyprus
52,Male,31,Not asked,Middle,Eigth step,Upper class,Cyprus
53,Female,23,Not applicable,Middle,Seventh step,Upper middle class,Cyprus
54,Female,61,Not asked,Middle,Sixth step,Lower middle class,Cyprus
55,Male,58,Skilled manual,Middle,Fourth step,Lower middle class,Cyprus
56,Male,33,Not asked,Upper,Third step,Lower middle class,Cyprus
57,Female,41,Not asked,Middle,Sixth step,Lower middle class,Cyprus
58,Male,29,Not asked,Middle,second step,Lower middle class,Cyprus
59,Female,26,Not asked,Upper,Fifth step,Lower middle class,Cyprus
60,Male,47,Not asked,Middle,Fifth step,Working class,Cyprus
61,Female,55,Not asked,Middle,Fourth step,Lower middle class,Cyprus
62,Female,61,Not asked,Middle,Seventh step,Upper middle class,Cyprus
63,Female,54,Not asked,Lower,Fourth step,Working class,Cyprus
64,Male,33,Not asked,Middle,Fifth step,Lower middle class,Cyprus
65,Male,36,Not asked,Middle,Fourth step,Lower middle class,Cyprus
66,Male,75,Not asked,Lower,Fifth step,Working class,Cyprus
67,Female,54,Not asked,Middle,Eigth step,Upper middle class,Cyprus
68,Female,34,Non manual -office worker,Upper,Eigth step,Upper class,Cyprus
69,Female,41,Not asked,Upper,Sixth step,Upper middle class,Cyprus
70,Female,28,Not asked,Middle,Sixth step,Lower middle class,Cyprus
71,Male,32,Not asked,Upper,Nineth step,Upper middle class,Cyprus
72,Female,25,Not asked,Middle,Third step,Lower middle class,Cyprus
73,Female,83,Not applicable,Lower,Fourth step,Lower middle class,Cyprus
74,Male,39,Skilled manual,Upper,Nineth step,Upper class,Cyprus
75,Male,40,Not asked,Upper,Eigth step,Upper middle class,Cyprus
76,Female,43,Not asked,Lower,Third step,Lower middle class,Cyprus
77,Female,21,Not asked,Middle,Sixth step,Upper middle class,Cyprus
78,Male,37,Employer/manager of establishment with less than 10 employed,Lower,Sixth step,Upper middle class,Cyprus
79,Male,22,Supervisory Non manual -office worker,Middle,Fifth step,Lower middle class,Cyprus
80,Male,77,Non manual -office worker,Middle,Fifth step,Lower middle class,Cyprus
81,Female,60,Not asked,Lower,Sixth step,Lower middle class,Cyprus
82,Female,42,Not applicable,Middle,Sixth step,Lower middle class,Cyprus
83,Female,18,Not asked,Upper,Seventh step,Lower middle class,Cyprus
84,Male,24,Not asked,Middle,Sixth step,Working class,Cyprus
85,Female,70,Not asked,Middle,Sixth step,Upper middle class,Cyprus
86,Male,71,Not applicable,Middle,Fifth step,Working class,Cyprus
87,Female,25,Not asked,Middle,Third step,Lower middle class,Cyprus
88,Female,37,Not asked,Middle,Seventh step,Working class,Cyprus
89,Male,40,Skilled manual,Middle,Fourth step,Lower middle class,Cyprus
90,Female,40,Not asked,Middle,Seventh step,Working class,Cyprus
91,Male,31,Not asked,Middle,Eigth step,Upper class,Cyprus
92,Male,52,Supervisory Non manual -office worker,Upper,Eigth step,Upper middle class,Cyprus
93,Male,30,Skilled manual,Middle,Seventh step,Upper middle class,Cyprus
94,Female,38,Not asked,Upper,Sixth step,Upper middle class,Cyprus
95,Male,56,Not asked,Middle,Fifth step,Working class,Cyprus
96,Female,69,Not asked,Lower,Third step,Working class,Cyprus
97,Male,26,Not asked,Upper,Don´t know,Don´t know,Cyprus
98,Female,32,Not asked,Lower,Eigth step,Lower middle class,Cyprus
99,Female,66,Not applicable,Lower,Fifth step,Upper middle class,Cyprus
0,Male,51,Skilled manual,Middle,Fifth step,Lower middle class,Czech Rep.
1,Female,35,Non manual -office worker,Middle,Third step,Working class,Czech Rep.
2,Female,33,Junior level non manual,Not asked in survey,Fifth step,Not asked in survey,Czech Rep.
3,Female,54,Unskilled manual,Not asked in survey,Third step,Not asked in survey,Czech Rep.
4,Male,46,Skilled manual,Middle,Tenth step,Upper middle class,Czech Rep.
5,Male,56,Supervisory Non manual -office worker,Not asked in survey,Fourth step,Not asked in survey,Czech Rep.
6,Female,68,Non manual -office worker,Middle,Fourth step,Working class,Czech Rep.
7,Female,25,Agricultural worker,Middle,No answer,Lower middle class,Czech Rep.
8,Male,42,Unskilled manual,Not asked in survey,Fourth step,Not asked in survey,Czech Rep.
9,Female,22,Semi-skilled manual worker,Middle,second step,Upper middle class,Czech Rep.
10,Male,65,Unskilled manual,Not asked in survey,Sixth step,Not asked in survey,Czech Rep.
11,Female,52,Supervisory Non manual -office worker,Upper,Sixth step,Lower middle class,Czech Rep.
12,Male,51,Skilled manual,Middle,Fourth step,Working class,Czech Rep.
13,Female,57,Unskilled manual,Not asked in survey,Sixth step,Not asked in survey,Czech Rep.
14,Male,78,Middle level non-manual office worker,Not asked in survey,Third step,Not asked in survey,Czech Rep.
15,Female,24,Skilled manual,Middle,Lower step,Lower middle class,Czech Rep.
16,Male,24,Skilled manual,Not asked in survey,No answer,Not asked in survey,Czech Rep.
17,Female,46,Supervisory Non manual -office worker,Middle,No answer,No answer,Czech Rep.
18,Female,50,Unskilled manual,Not asked in survey,Sixth step,Not asked in survey,Czech Rep.
19,Male,39,Junior level non manual,Not asked in survey,Seventh step,Not asked in survey,Czech Rep.
20,Female,19,Junior level non manual,Not asked in survey,Eigth step,Not asked in survey,Czech Rep.
21,Female,32,Junior level non manual,Not asked in survey,Sixth step,Not asked in survey,Czech Rep.
22,Male,29,Junior level non manual,Not asked in survey,Third step,Not asked in survey,Czech Rep.
23,Female,47,Middle level non-manual office worker,Not asked in survey,Sixth step,Not asked in survey,Czech Rep.
24,Female,62,Professional worker,Middle,Lower step,Working class,Czech Rep.
25,Male,40,Skilled manual,Not asked in survey,Seventh step,Not asked in survey,Czech Rep.
26,Male,23,Skilled manual,Middle,Fourth step,Lower middle class,Czech Rep.
27,Male,56,Unskilled manual,Lower,Sixth step,Working class,Czech Rep.
28,Female,48,Junior level non manual,Not asked in survey,Seventh step,Not asked in survey,Czech Rep.
29,Female,46,Supervisory Non manual -office worker,Middle,Sixth step,Lower middle class,Czech Rep.
30,Female,23,Junior level non manual,Not asked in survey,Fifth step,Not asked in survey,Czech Rep.
31,Male,37,Unskilled manual,Not asked in survey,Fifth step,Not asked in survey,Czech Rep.
32,Male,63,Employer/manager of establishment with 10 or more employed,Middle,No answer,Lower middle class,Czech Rep.
33,Female,27,Skilled manual,Middle,No answer,Upper middle class,Czech Rep.
34,Male,32,Unskilled manual,Not asked in survey,Seventh step,Not asked in survey,Czech Rep.
35,Female,32,Skilled manual,Not asked in survey,Seventh step,Not asked in survey,Czech Rep.
36,Male,67,Supervisory Non manual -office worker,Middle,Fourth step,Working class,Czech Rep.
37,Male,47,Employer/manager of establishment with 10 or more employed,Middle,Tenth step,Lower middle class,Czech Rep.
38,Male,35,Unskilled manual,Not asked in survey,Eigth step,Not asked in survey,Czech Rep.
39,Female,41,Middle level non-manual office worker,Not asked in survey,Sixth step,Not asked in survey,Czech Rep.
40,Male,57,Member of armed forces,Middle,Seventh step,Lower middle class,Czech Rep.
41,Female,47,Semi-skilled manual worker,Middle,No answer,Lower middle class,Czech Rep.
42,Female,51,Professional worker,Middle,Eigth step,Lower middle class,Czech Rep.
43,Female,54,Semi-skilled manual worker,Lower,Fifth step,Lower class,Czech Rep.
44,Female,56,Junior level non manual,Not asked in survey,Fifth step,Not asked in survey,Czech Rep.
45,Male,76,Agricultural worker,Middle,Fifth step,Lower middle class,Czech Rep.
46,Female,66,Professional worker,Upper,No answer,Upper middle class,Czech Rep.
47,Female,24,Non manual -office worker,Middle,Eigth step,Lower middle class,Czech Rep.
48,Female,24,Middle level non-manual office worker,Not asked in survey,Seventh step,Not asked in survey,Czech Rep.
49,Female,29,Unskilled manual,Middle,Third step,Lower middle class,Czech Rep.
50,Male,32,Employer/manager of establishment with less than 10 employed,Middle,Sixth step,Upper middle class,Czech Rep.
51,Female,72,Skilled manual,Middle,Fifth step,Lower middle class,Czech Rep.
52,Male,28,Skilled manual,Middle,No answer,Lower middle class,Czech Rep.
53,Female,26,Junior level non manual,Not asked in survey,Fifth step,Not asked in survey,Czech Rep.
54,Male,56,Skilled manual,Middle,second step,Lower class,Czech Rep.
55,Female,25,Agricultural worker,Not asked in survey,Sixth step,Not asked in survey,Czech Rep.
56,Male,48,Member of armed forces,Not asked in survey,Sixth step,Not asked in survey,Czech Rep.
57,Male,57,Skilled manual,Not asked in survey,Fourth step,Not asked in survey,Czech Rep.
58,Male,24,Skilled manual,Middle,Third step,Lower middle class,Czech Rep.
59,Female,26,Junior level non manual,Not asked in survey,second step,Not asked in survey,Czech Rep.
60,Male,45,Skilled manual,Middle,Seventh step,Working class,Czech Rep.
61,Female,30,Foreman and supervisor,Middle,Fourth step,Lower middle class,Czech Rep.
62,Female,70,Supervisory Non manual -office worker,Middle,second step,Lower middle class,Czech Rep.
63,Female,35,Middle level non-manual office worker,Not asked in survey,Fourth step,Not asked in survey,Czech Rep.
64,Female,59,Professional worker,Middle,second step,Lower middle class,Czech Rep.
65,Female,18,Never had a job,Middle,Sixth step,Working class,Czech Rep.
66,Male,53,Employer/manager of establishment with 10 or more employed,Middle,Fifth step,Working class,Czech Rep.
67,Male,62,Skilled manual,Not asked in survey,Third step,Not asked in survey,Czech Rep.
68,Male,31,Skilled manual,Not asked in survey,Seventh step,Not asked in survey,Czech Rep.
69,Male,33,Skilled manual,Not asked in survey,Sixth step,Not asked in survey,Czech Rep.
70,Female,25,Skilled manual,Middle,second step,Lower middle class,Czech Rep.
71,Female,49,Non manual -office worker,Middle,Seventh step,Lower middle class,Czech Rep.
72,Male,38,Middle level non-manual office worker,Not asked in survey,Fifth step,Not asked in survey,Czech Rep.
73,Female,58,Professional worker,No answer,No answer,Upper middle class,Czech Rep.
74,Male,39,Skilled manual,Middle,Fifth step,Lower middle class,Czech Rep.
75,Male,34,Skilled manual,Not asked in survey,Fifth step,Not asked in survey,Czech Rep.
76,Male,43,Skilled manual,Middle,Sixth step,Lower middle class,Czech Rep.
77,Male,56,Professional worker,Upper,Fifth step,Lower middle class,Czech Rep.
78,Female,64,Non manual -office worker,No answer,second step,Working class,Czech Rep.
79,Female,39,Middle level non-manual office worker,Not asked in survey,Eigth step,Not asked in survey,Czech Rep.
80,Female,62,Agricultural worker,Not asked in survey,Fourth step,Not asked in survey,Czech Rep.
81,Female,49,Skilled manual,Not asked in survey,Fifth step,Not asked in survey,Czech Rep.
82,Female,45,Semi-skilled manual worker,Middle,Lower step,Lower class,Czech Rep.
83,Male,37,Skilled manual,Middle,second step,Lower middle class,Czech Rep.
84,Female,38,Non manual -office worker,Middle,Fourth step,Lower middle class,Czech Rep.
85,Male,18,Never had a job,Upper,Tenth step,Lower middle class,Czech Rep.
86,Female,42,Professional worker,Middle,Seventh step,Lower middle class,Czech Rep.
87,Female,25,Junior level non manual,Not asked in survey,Fifth step,Not asked in survey,Czech Rep.
88,Male,42,Supervisory Non manual -office worker,Not asked in survey,Seventh step,Not asked in survey,Czech Rep.
89,Female,47,Skilled manual,Not asked in survey,Seventh step,Not asked in survey,Czech Rep.
90,Male,23,Unskilled manual,Not asked in survey,Nineth step,Not asked in survey,Czech Rep.
91,Female,29,Unskilled manual,Middle,Fourth step,Lower middle class,Czech Rep.
92,Female,64,Agricultural worker,Not asked in survey,Fifth step,Not asked in survey,Czech Rep.
93,Male,48,Professional worker,Upper,Tenth step,Upper middle class,Czech Rep.
94,Female,70,Unskilled manual,Not asked in survey,second step,Not asked in survey,Czech Rep.
95,Male,70,Supervisory Non manual -office worker,Middle,Third step,Lower middle class,Czech Rep.
96,Female,24,Skilled manual,Not asked in survey,Fourth step,Not asked in survey,Czech Rep.
97,Female,36,Agricultural worker,Not asked in survey,Third step,Not asked in survey,Czech Rep.
98,Female,42,Professional worker,Not asked in survey,Eigth step,Not asked in survey,Czech Rep.
99,Male,68,Skilled manual,Not asked in survey,Third step,Not asked in survey,Czech Rep.
0,Male,31,Unskilled manual,Middle,Nineth step,Lower middle class,Chile
1,Male,67,Not asked,Middle,Lower step,Lower class,Chile
2,Male,57,Unskilled manual,Lower,Lower step,Lower class,Chile
3,Male,47,Skilled manual,Not asked in survey,Seventh step,Not asked in survey,Chile
4,Male,67,Middle level non-manual office worker,Not asked in survey,Third step,Not asked in survey,Chile
5,Female,39,Don't know,Middle,No answer,Lower class,Chile
6,Male,34,Semi-skilled manual worker,Not asked in survey,Fourth step,Not asked in survey,Chile
7,Male,70,Not asked,Middle,second step,Lower class,Chile
8,Female,38,Not asked,Upper,Fifth step,Lower middle class,Chile
9,Female,33,Middle level non-manual office worker,Not asked in survey,Nineth step,Not asked in survey,Chile
10,Female,25,Not asked,Middle,No answer,Lower middle class,Chile
11,Female,49,Never had a job,Middle,Lower step,Working class,Chile
12,Male,34,Not asked,Upper,Seventh step,Upper middle class,Chile
13,Male,57,Not asked,Middle,No answer,Lower middle class,Chile
14,Female,32,Middle level non-manual office worker,Not asked in survey,Seventh step,Not asked in survey,Chile
15,Male,24,Unskilled manual,Middle,Sixth step,Lower middle class,Chile
16,Male,45,Junior level non manual,Not asked in survey,Third step,Not asked in survey,Chile
17,Male,29,Unskilled manual,Upper,Fifth step,No answer,Chile
18,Male,65,Not asked,Upper,Eigth step,Upper class,Chile
19,Male,35,Skilled manual,Not asked in survey,Fourth step,Not asked in survey,Chile
20,Female,66,Unskilled manual,Lower,second step,Don´t know,Chile
21,Female,57,Never had a job,Middle,Eigth step,Upper middle class,Chile
22,Female,29,Never had a job,No answer,Eigth step,Upper middle class,Chile
23,Female,25,Middle level non-manual office worker,Not asked in survey,Seventh step,Not asked in survey,Chile
24,Female,52,Not asked,Middle,second step,Lower class,Chile
25,Female,54,Never had a job,Lower,second step,Working class,Chile
26,Female,24,Not asked,Middle,Fifth step,Working class,Chile
27,Male,28,Not asked,Middle,No answer,Working class,Chile
28,Male,46,Not asked,Middle,Seventh step,Lower middle class,Chile
29,Female,57,Not asked,Middle,Third step,Working class,Chile
30,Male,37,Unskilled manual,Middle,second step,Lower middle class,Chile
31,Male,49,Supervisory Non manual -office worker,Middle,Fifth step,Lower middle class,Chile
32,Male,19,Not asked,Middle,Sixth step,Lower middle class,Chile
33,Male,68,Not asked,Upper,Fifth step,Upper middle class,Chile
34,Female,44,Non manual -office worker,Lower,second step,Working class,Chile
35,Female,29,Skilled manual,Upper,second step,Upper middle class,Chile
36,Female,22,Supervisory Non manual -office worker,Upper,Seventh step,Lower middle class,Chile
37,Female,34,Semi-skilled manual worker,Not asked in survey,Tenth step,Not asked in survey,Chile
38,Male,61,Foreman and supervisor,Lower,Lower step,Working class,Chile
39,Female,20,Unskilled manual,Upper,Sixth step,Lower middle class,Chile
40,Male,39,Semi-skilled manual worker,Middle,Seventh step,Lower middle class,Chile
41,Male,50,Not asked,Lower,Fourth step,Lower class,Chile
42,Male,35,Professional worker,Upper,Seventh step,Upper middle class,Chile
43,Female,29,Not asked,Middle,No answer,Lower middle class,Chile
44,Male,71,Not asked,Upper,Seventh step,Upper middle class,Chile
45,Male,21,Never had a job,Upper,Sixth step,Lower middle class,Chile
46,Female,55,Unskilled manual,Middle,Third step,Lower middle class,Chile
47,Female,51,Semi-skilled manual worker,Upper,Seventh step,Lower middle class,Chile
48,Male,41,Unskilled manual,Lower,Lower step,Working class,Chile
49,Female,59,Not asked,Middle,Sixth step,Lower middle class,Chile
50,Male,54,Unskilled manual,Middle,Sixth step,Lower class,Chile
51,Female,36,Don't know,Middle,Fourth step,Lower middle class,Chile
52,Female,49,Don't know,Middle,second step,Working class,Chile
53,Male,24,Non manual -office worker,Middle,Fourth step,Lower middle class,Chile
54,Female,62,Never had a job,Middle,Third step,Lower middle class,Chile
55,Male,33,Middle level non-manual office worker,Not asked in survey,Fourth step,Not asked in survey,Chile
